book_id,title,mapped_id
6348973,الآباء والبنون,3836
881361,One from None,24038
1108764,New Collected Poems: Sylvia Townsend Warner,10332
111044,Stop Pretending: What Happened When My Big Sister Went Crazy,1998
96087,Whispers of the Desert,10548
26715021,Our Food: A Healthy Serving of Science and Poems,8923
1650189,Hallelujah Anyway,12077
6782699,Selected Poems,5257
272102,Songs of Innocence,13523
842814,Thoughts and Meditations,4001
27041,Awakening the Heart: Exploring Poetry in Elementary and Middle School,838
25784766,The Dogs I Have Kissed,387
13586848,Hamlet,4454
5501215,The Lost Country of Sight,15907
5501213,Du Fu: A Life in Poetry,9584
18406158,Like a Beggar,24288
984838,The Wrong End of the Rainbow: Poems,12011
130546,"Unfortunately, It Was Paradise: Selected Poems",6509
2414444,"Mid-Century French Poets: Selections, Translations, and Critical Notices",21542
32814910,Notes to Self,4289
3128710,The Bill Martin Jr Big Book of Poetry,5555
906943,Behind My Eyes [With CD],2077
175869,The Tent,13163
13617731,رسائلي إليه,4276
165251,Song of the Simple Truth: The Complete Poems of Julia de Burgos,3168
175033,Walking the Black Cat,8123
95894,The Seventh Octave: The Early Writings of Saul Williams,18526
8680420,ديوان الإمام الشافعي,18125
338809,Poems of Christina Rossetti,14840
2195335,Wild Civility,20674
2793399,Worshipping Walt: The Whitman Disciples,9507
13066585,خلجات الحب,9776
552186,اطاق آبی,15275
884306,Poetry for Cats: The Definitive Anthology of Distinguished Feline Verse,7010
1499941,هملت,9301
1239200,Seven Notebooks: Poems,26078
668953,Understanding Poetry,4149
6421376,Practical Water,2166
21442388,Yabo,14352
467119,My America: A Poetry Atlas of the United States,5153
13707574,Mayakovsky's Revolver,18564
131421,Rubaiyat of Omar Khayyam,8148
9329900,Parable of Hide and Seek,25661
32531,Gilgamesh,23543
47721,Now We Are Sick: An Anthology of Nasty Verse,1040
21961473,موسوعة روائع الشعر العربي : الغزل,1805
879302,Jacklight,2470
29486405,تجاوز,196
13517233,La religion de l'amour,3869
6640159,The Years Between,3584
554651,Arte poética: Seis conferencias en Harvard,1908
35489042,Pillow Thoughts,286
499918,West Wind,330
6500395,The Mermaid and Other Sea Poems,11693
461927,Return to a Place Lit by a Glass of Milk,18699
26252952,Here at Last is Love: Selected Poems,11901
20098464,Should Our Undoing Come Down Upon Us White,2563
9661702,Foglie d'erba,14060
385281,Stroke by Stroke,2257
346461,ارغنون,13298
2194590,Tālas noskaņas zilā vakarā,6388
7745585,Adam Robison and Other Poems,6163
4096668,رسائل الأحزان,716
16081112,آرثر رامبو - الأعمال الشعرية الكاملة,24445
33004293,Solo,22721
12845881,الحلاج: الأعمال الكاملة,3932
18263725,The Crossover,2497
177299,Teatro,23563
544520,Music While Drowning: German Expressionist Poems,7605
88089,Complete Works of Oscar Wilde,1478
15847412,Odisseia,3206
12881113,هويس الشعر العربي,12632
16059653,The Year of What Now: Poems,10136
279769,The Leaf And The Cloud: A Poem,13737
15805962,Hymnal for Dirty Girls,24315
13538718,All the Odes,1877
4498962,Please,15914
23848151,The Emperor of Water Clocks,22996
4811183,Love's a Sweet,15772
34688452,I Am More Than a Daydream,593
18339587,أصوات الضمير,9277
7329672,Piddly Poems for Children,10173
33004289,Solo,10218
19770450,عن فيلسوفة,3539
12507922,الأعمال الكاملة: محمود درويش,206
92953,"Joker, Joker, Deuce",347
1387195,Now You Care,4699
1387196,Agnes In The Sky,4698
1387198,Questions I Asked My Mother,4697
167398,Poesia Completa   Cesar Vallejo,17443
20483085,"Poisoned Apples: Poems for You, My Pretty",3633
8136668,مظفر النواب: الأعمال الشعرية الكاملة,5576
7827881,War Dances,11184
8125529,برقيات عاجلة إلى وطني,18630
478556,Complete Writings with Variant Readings,15892
90673,William Carlos Williams: A New World Naked,7668
90671,Imaginations,22997
34231808,hummingbird,27044
6150360,حبة هوا...,1164
20613761,Citizen: An American Lyric,4
6611563,رباعيات الخيام,18094
275274,Sister Mary Ignatius Explains it All for You & The Actor's Nightmare,369
8771372,The Triggering Town: Lectures and Essays on Poetry and Writing,4405
16166468,Red Winds Howl,14095
7913237,Ingin Jadi Nasrallah,23128
6898681,Missing Her,2185
3232102,Make a Joke and I Will Sigh and You Will Laugh and I Will Cry,15632
1583629,On Entering the Sea,5655
1493547,"Moon, Have You Met My Mother?",16965
462,Disappearances,20667
13368060,After the Storm: Poetry That Refreshes the Soul,21252
15792901,It Becomes You: Poems,19019
15792904,The Virtues of Poetry,3043
10532747,حبيبتي لا ترحلي,2431
208051,Selected Poems,9091
32148213,This Impossible Light,5193
663145,دو بیتی های بابا طاهر,13312
2172445,The Poets' Corner: The One-and-Only Poetry Book for the Whole Family,7184
12920,The Aeneid,19892
60321,A Few Figs from Thistles,1266
90051,The Complete Poems,319
9250069,رسول حمزاتوف: مختارات شعرية,15021
1274676,No Real Light,8416
16290068,Passages II,10153
133380,Collected Poems,1269
782095,The Midnight Ride of Paul Revere,3757
36247000,The Paris Review Issue 222,9060
437556,Women of Trachis,20652
245821,The Ruba'iyat of Omar Khayyam,5645
207917,Adventures in 'Pataphysics,13412
18775357,The Best American Poetry 2014,14170
18669895,Swimming to the Moon: A Collection of Rhymes Without Reason,14099
481516,"Given Sugar, Given Salt",6562
18387116,Dreams Like Mine,18829
15793862,The Bees: Poems,7226
25491371,عشق وحداد: مختارات من الشعر العالمي,19123
10504688,Кого живея?,12985
10075436,ليس كل الأحلام قصائد,7747
6949833,آخر ليالي الحلم,3487
684222,Amorgos,7697
134979,Conamara Blues: Poems,23931
95967,A Heckuva Job: More of the Bush Administration in Rhyme,9910
12213788,Selected Poems,7019
25448131,Other Than Sadness,5343
1166119,By Grand Central Station I Sat Down And Wept,16684
22909597,Brown Girl Dreaming,6599
17465598,Trances of the Blast,11904
30962870,No More Milk,2558
536658,Quilting: Poems 1987-1990,4692
6513873,The White Album,6196
23129974,Beastly Verse,1956
1323360,La Jeune Parque,4626
1221911,Trilce,2255
2470643,Zombie Haiku: Good Poetry for Your...Brains,2314
29429950,Forever Words,25756
162900,The Dead and the Living,7475
162902,Satan Says (Pitt Poetry Series),1307
162904,The Wellspring,5231
2324618,Look We Have Coming to Dover!,10262
12771197,Fire in the Pasture: 21st Century Mormon Poets,10921
22714835,Love and Space Dust,25916
114238,Complete Poems,5622
1570993,Poems for Patriarchs: The Verse and Prose of Christian Manhood,19316
29907494,"За кого се сещаш, когато се сещаш за някого",17384
1806116,The Death of the King's Canary,17535
369232,Women Poets of Japan,6528
17573700,Memorial: A Version of Homer's Iliad,10310
34612143,يوميات,27053
1991959,Poets of the Civil War,7400
344638,"Honey, I Love",15088
3463472,Los perros románticos,8245
11339,100 Love Sonnets,413
17261650,Inklinks,17803
518691,Shells,7644
1467308,A History Of The Garden: Poems,18037
16280465,Collected Poems,6108
1430302,The Poem of a Life: A Biography of Louis Zukofsky,12916
320276,Selected Poems: Pablo Neruda,7473
681955,"The Anchor Book of Chinese Poetry: From Ancient to Contemporary, The Full 3000-Year Tradition",7161
12159542,The Ideograms,18240
17163037,The Proxy Eros,12193
846133,Butterfly Eyes and Other Secrets of the Meadow,8960
1100837,The Enormous Room,22288
3055089,Kytice,233
2376086,Poems of the Late T'ang,7363
2454807,A Strange Market,16722
276692,You Are a Little Bit Happier Than I Am,6247
30718287,Your Soul is a River,373
96392,The Smallest Muscle in the Human Body,2262
13814756,Road Scatter: Poems,2075
2253688,Everywhere Being Is Dancing: Twenty Pieces of Thinking,2306
33015,Selected Poems,4909
33016,The Complete Poems,4419
83071,The Songs of Bilitis,3692
398177,Ogden Nash's Zoo,4120
398178,Selected Poetry,24382
1074910,Pencil Letter,23212
10321143,The Cold War,10920
32649,Notebook of a Return to the Native Land,898
1294115,The Art of Poetry: How to Read a Poem,23146
28116744,Naming Thy Name: Cross Talk in Shakespeare's Sonnets,26645
7003858,كتاب المعانقات,700
29382896,O Frabjous Day!,24828
13141294,Paradise Lost and Paradise Regained,14378
895432,"First Blues: Rags, Ballads & Harmonium Songs",17537
374190,A Hundred White Daffodils,18235
18249429,Someone Else's Wedding Vows,2111
21560246,A Halloween Scare in Maryland: Prepare If You Dare,11639
239788,Keats: Poems,23857
638421,The Works of John Donne,16138
12793770,Hamlet,26676
13553229,الإلياذة,12570
23678552,Psychaotic: See The World In Red And Black,10567
36935,You Have to Write,15987
8878787,الوصول إلى مدينة أين,14912
6344897,في حضرة الغياب,3504
694794,Selfwolf,4678
556637,A Celtic Miscellany: Translations from the Celtic Literatures,5452
364141,The Dream of a Common Language,1781
2390533,Not This Island Music,16796
7223390,الرقص مع البوم,460
11409124,The Weight of Water,3738
2231658,Factory of Tears,11965
24535299,Unwritten Letters to You,27408
29102834,When My Sister Started Kissing,13026
29102833,Bravo!: Poems About Amazing Hispanics,959
32682867,[Redacted],27048
852660,An Anthology of Twentieth-Century Brazilian Poetry,7332
562574,What He Took,6287
13561411,Murtuneista luista,7871
11049723,رمل و زبد,4811
230181,چهل نامه‌ی کوتاه به همسرم,5777
2543562,The Best American Erotic Poems: From 1800 to the Present,8425
315214,"Poetry and Designs: Authoritative Texts, Illuminations in Color and Monochrome, Related Prose, Criticism",9526
16570,This Craft of Verse,1910
18406279,The Pedestrians,8369
22158284,The Waste Land,15705
92020,Middle Earth: Poems,2290
170371,"The Sound of Water: Haiku by Basho, Buson, Issa, and Other Poets",6559
170372,Love Poems from the Japanese,6533
13105527,I Wrote This For You,314
655782,"Death and Fame: Last Poems, 1993-1997",11671
7202387,Poems of the Night,9048
208531,Sisters of the Earth: Women's Prose and Poetry About Nature,20076
1154145,Spring: An Alphabet Acrostic,830
1154143,Winter: An Alphabet Acrostic,829
1154142,Autumn: An Alphabet Acrostic,827
25466323,Spectacular Selection of Sea Critters,20230
402541,Sounds,9133
5996912,الأميرة تنتظر,4792
5996916,أحلام الفارس القديم,4778
6345370,The Stars on the 7:18 to Penn,6201
13610925,و ..,8793
2243685,Scars Tell Stories: A Queer and Trans (Dis)ability Zine,15233
234,The Complete Verse and Other Nonsense,12853
236,The Complete Nonsense of Edward Lear,20098
857726,Ordinary Miracles,27223
13516620,ديوان قيس بن الملوح: مجنون ليلى,703
999522,Songs of Ourselves: The Uses of Poetry in America,7378
18526,The Complete Plays,3772
18522,J.B.,3798
806078,Riding Westward,12197
806077,From the Devotions,26077
7454863,Selected Poems,25266
12034467,هذي بلاد.. لم تعد كبلادي,19757
17653856,The Daring of Paradise,21684
874796,لیلی و مجنون,13294
223145,Open Secret: Versions of Rumi,3911
989744,The Psalms and Hymns of Isaac Watts,19254
443769,The Whitsun Weddings,13529
7647334,The Common Man,25108
29873311,Cannibal,6919
8746917,Non vorrei crepare,1575
118414,My Discovery of America,2965
118413,The Bedbug and Selected Poetry,1204
7117407,İlyada,13942
18114336,Leaves of Grass and Selected Poems and Prose,118
12122965,أوراق الزيتون,6458
140032,"The Collected Poems, 1975-2005",12935
536668,Dream Work,337
404075,The Essential Etheridge Knight,7421
2028527,Unmentionables: Poems,15724
17164508,النبي,12602
11791906,من أخذ النظرة التي تركتها أمام الباب؟,2356
9811933,Selected Unpublished Blog Posts of a Mexican Panda Express Employee,13716
218133,Edna St. Vincent Millay: Selected Poems,7398
61049,Autobiography of Red,941
195769,The Way Things Are: The De Rerum Natura,3148
24874347,The Eve of St. Agnes,19302
24874344,Alone on the Beach at Night,14042
24874343,Three Tang Dynasty Poets,22013
24874348,Woman Much Missed,6334
18307865,The Death Sonnets,9019
22755604,Two Faint Lines in the Violet,1287
178959,American Primitive,164
6897011,The Book of Disquiet,2864
18203288,"Floating, Brilliant, Gone",8318
26189800,Running on the March Wind,17228
14318805,Romanticism: An Anthology,12414
2228563,Awful Ogre Running Wild,11643
3656020,The Divine Comedy,2005
34380,Inferno,2341
6332889,Silly Street,4546
589399,Mohawk Trail,24276
140027,Death Tractates,8483
140024,Loose Sugar,7286
476233,How Lisa Loved the King,3583
108128,New Poems of Emily Dickinson,3170
108120,I'm Nobody! Who Are You?,22172
108127,My Emily Dickinson,5530
765809,The Inferno of Dante Alighieri,7460
74037,King Arthur's Death,25254
18338557,The Works of Emily Dickinson,12479
882631,Helen,6894
244999,Figures  Figurations,2206
4606874,A Morte Melancólica do Rapaz Ostra & Outras Estórias,6710
27821233,Ahora que la vida,6612
27110754,I Saw an Invisible Lion Today: Quatrains,8935
